,Semester,Days,S1,S2,Pair,Return,Converged
0,0,33,JCI,1436513D,JCI-1436513D,1.0000339721296883,True
1,0,13,JCI,1436513D,JCI-1436513D,1.000067053695677,True
2,0,28,JCI,1436513D,JCI-1436513D,1.0000880773032392,True
3,0,9,JCI,1436513D,JCI-1436513D,1.0000487634419453,True
4,0,17,JCI,1436513D,JCI-1436513D,1.0000517140747271,True
5,0,2,JCI,1436513D,JCI-1436513D,1.0000496473936427,True
6,0,4,JCI,1436513D,JCI-1436513D,1.0000530726014745,True
7,0,2,JCI,1436513D,JCI-1436513D,1.0000530720456642,True
8,0,8,JCI,1436513D,JCI-1436513D,1.0000303561700472,True
9,0,10,PEG,0961514D,PEG-0961514D,1.0277667832540782,True
10,0,15,PEG,0961514D,PEG-0961514D,1.0124723024982716,True
11,0,6,PEG,0961514D,PEG-0961514D,1.0190905987796226,True
12,0,34,PEG,0961514D,PEG-0961514D,0.9900946246279267,False
13,0,12,45200Q,CNP,45200Q-CNP,1.0214987573613943,True
14,0,37,45200Q,CNP,45200Q-CNP,1.018000904985745,True
15,0,15,CNP,SO,CNP-SO,1.0221179465833494,True
16,0,4,CNP,SO,CNP-SO,1.0171369580179683,True
17,0,16,CNP,SO,CNP-SO,1.024648462021603,True
18,0,25,CNP,SO,CNP-SO,1.01699286958196,True
19,0,3,CNP,SO,CNP-SO,1.019876736996286,True
20,0,6,CNP,SO,CNP-SO,1.0202179222289454,True
21,0,4,CNP,SO,CNP-SO,1.0250250288628284,True
22,0,6,CNP,SO,CNP-SO,1.000603274861431,False
23,0,34,45200Q,SO,45200Q-SO,1.0290592952836626,True
24,0,5,45200Q,SO,45200Q-SO,1.029974670247395,True
25,0,2,45200Q,SO,45200Q-SO,1.018558003018284,True
26,0,4,45200Q,SO,45200Q-SO,1.026997763078728,True
27,0,7,45200Q,SO,45200Q-SO,1.0195238776964461,True
28,0,7,45200Q,SO,45200Q-SO,0.9780474309123903,False
29,0,18,AEP,CEG,AEP-CEG,1.0305631537204336,True
30,0,17,AEP,CEG,AEP-CEG,1.0249149919425156,True
31,0,14,AEP,CEG,AEP-CEG,1.0233357722728376,True
32,0,36,AEP,CEG,AEP-CEG,1.0340621016543792,True
33,0,28,AEP,CEG,AEP-CEG,1.0218612723935234,True
34,0,89,PCG,SO,PCG-SO,1.037764335584282,True
35,0,45,D,TXU,D-TXU,1.0716195606298011,True
36,0,29,D,TXU,D-TXU,0.95,False
37,0,10,ED,PEG,ED-PEG,1.0245400095974455,True
38,0,6,ED,PEG,ED-PEG,1.0294678431745534,True
39,0,3,ED,PEG,ED-PEG,1.0246459103553531,True
40,0,21,ED,PEG,ED-PEG,1.031393280565052,True
41,0,24,ED,PEG,ED-PEG,0.9719109641807114,False
